IPK,Penghasilan,Tanggungan,Prestasi,Semester,Status_Beasiswa
3.06,7923388,3,Tidak Ada,6,Tidak Layak
3.4,3734489,3,Ada,4,Layak
3.19,8704212,4,Tidak Ada,4,Tidak Layak
2.53,6481505,4,Tidak Ada,7,Tidak Layak
2.5,1603355,5,Ada,5,Layak
3.42,7243066,3,Ada,3,Layak
2.57,6221339,3,Tidak Ada,8,Tidak Layak
3.97,9742680,3,Ada,4,Layak
3.52,6999720,2,Tidak Ada,2,Tidak Layak
3.95,2965689,5,Tidak Ada,5,Layak
2.86,5556518,4,Ada,8,Layak
2.76,3370928,4,Tidak Ada,5,Tidak Layak
2.97,3805413,2,Tidak Ada,7,Tidak Layak
2.55,8781369,4,Tidak Ada,3,Tidak Layak
3.84,2546797,4,Ada,7,Layak
2.99,9911855,5,Tidak Ada,8,Tidak Layak
3.74,7017209,1,Tidak Ada,5,Tidak Layak
3.31,2785160,5,Ada,6,Layak
2.61,8056168,1,Tidak Ada,8,Tidak Layak
3.72,3237095,3,Ada,2,Layak
3.41,3731785,2,Ada,5,Layak
3.79,2496107,2,Ada,8,Layak
2.97,5642807,5,Ada,5,Layak
3.46,3621690,3,Ada,4,Layak
2.68,6901218,1,Ada,3,Tidak Layak
2.85,8406726,3,Ada,8,Tidak Layak
3.14,9387739,5,Ada,8,Layak
3.84,9471379,5,Tidak Ada,5,Tidak Layak
3.86,2473548,3,Ada,5,Layak
3.91,6693542,3,Ada,7,Layak
3.82,4039448,5,Tidak Ada,5,Layak
3.71,9806461,3,Tidak Ada,3,Tidak Layak
2.68,5060920,1,Ada,2,Layak
3.47,3735000,4,Ada,2,Layak
2.96,4048421,3,Ada,7,Layak
2.83,8705547,3,Tidak Ada,2,Tidak Layak
3.11,1539353,4,Tidak Ada,7,Layak
3.54,7225570,1,Ada,2,Layak
4.0,6465050,1,Tidak Ada,3,Tidak Layak
3.12,9234102,5,Tidak Ada,2,Tidak Layak
3.45,5872093,2,Ada,5,Layak
3.17,2619043,3,Tidak Ada,4,Layak
2.86,4058231,5,Tidak Ada,3,Tidak Layak
3.45,4156138,1,Ada,5,Layak
3.26,3648815,5,Ada,5,Layak
2.99,7904003,3,Tidak Ada,4,Tidak Layak
3.71,5836787,4,Ada,2,Layak
3.1,9113287,1,Ada,5,Tidak Layak
3.6,3526793,3,Ada,5,Layak
2.76,8799695,1,Tidak Ada,5,Tidak Layak
2.89,2186976,4,Ada,6,Layak
3.82,6684502,1,Ada,4,Layak
3.55,5174515,1,Tidak Ada,5,Tidak Layak
2.63,7824167,4,Tidak Ada,5,Tidak Layak
3.37,6606799,1,Ada,2,Layak
2.51,4299487,2,Tidak Ada,7,Tidak Layak
3.17,8428040,4,Ada,5,Layak
2.86,6572148,4,Tidak Ada,8,Tidak Layak
3.58,9670528,4,Ada,4,Layak
3.45,3483509,5,Ada,7,Layak
3.86,4938618,2,Ada,7,Layak
3.47,5603022,1,Ada,5,Layak
3.58,8765795,3,Tidak Ada,2,Tidak Layak
2.57,6630397,5,Tidak Ada,6,Tidak Layak
3.83,8479451,1,Ada,6,Layak
3.14,9278484,3,Tidak Ada,2,Tidak Layak
2.61,5835868,5,Tidak Ada,8,Tidak Layak
2.9,5386402,2,Ada,3,Layak
3.9,4580761,3,Tidak Ada,7,Layak
2.65,8913023,2,Ada,4,Tidak Layak
2.94,5853127,1,Ada,4,Layak
3.56,4176188,2,Ada,3,Layak
3.72,6991590,1,Tidak Ada,6,Tidak Layak
2.79,4199015,4,Ada,8,Layak
2.54,4677825,2,Tidak Ada,8,Tidak Layak
3.51,1618834,1,Tidak Ada,8,Layak
3.97,5749913,2,Tidak Ada,2,Layak
2.56,5003157,3,Tidak Ada,6,Tidak Layak
3.28,3485588,4,Tidak Ada,5,Layak
3.43,5367500,4,Tidak Ada,8,Layak
3.55,8519431,4,Tidak Ada,6,Tidak Layak
3.95,3146711,3,Tidak Ada,3,Layak
2.62,9717316,2,Ada,7,Tidak Layak
3.75,4341992,4,Ada,2,Layak
2.76,2303328,2,Tidak Ada,7,Tidak Layak
2.64,1676615,5,Ada,2,Layak
3.93,5199391,5,Tidak Ada,6,Layak
3.13,8531883,2,Tidak Ada,4,Tidak Layak
3.64,9898043,5,Ada,2,Layak
2.97,3788627,5,Tidak Ada,3,Layak
3.65,5002630,4,Ada,7,Layak
3.15,1788790,2,Tidak Ada,7,Layak
3.45,5193305,3,Tidak Ada,2,Tidak Layak
3.31,3089228,4,Tidak Ada,8,Layak
3.92,1549115,3,Tidak Ada,5,Layak
3.08,6746880,5,Ada,4,Layak
3.91,1991072,1,Tidak Ada,3,Layak
2.81,3748988,5,Tidak Ada,8,Layak
3.07,4476242,2,Ada,8,Layak
2.61,6333177,2,Tidak Ada,7,Tidak Layak
3.72,4097480,4,Tidak Ada,6,Layak
3.02,2031831,4,Ada,6,Layak
3.95,6211075,2,Ada,2,Layak
3.35,8826434,1,Ada,5,Tidak Layak
3.06,5622263,5,Tidak Ada,2,Tidak Layak
3.52,8490102,1,Ada,2,Layak
3.07,7281565,4,Tidak Ada,2,Tidak Layak
2.98,5760538,3,Ada,5,Layak
2.52,7697323,1,Ada,5,Tidak Layak
3.93,7463135,4,Ada,3,Layak
3.45,9490340,3,Tidak Ada,2,Tidak Layak
3.33,9189684,4,Ada,8,Layak
3.67,2287494,5,Ada,3,Layak
3.96,6583769,5,Ada,8,Layak
3.32,3776360,2,Tidak Ada,5,Layak
3.8,2832397,5,Tidak Ada,3,Layak
3.09,6962810,2,Tidak Ada,6,Tidak Layak
3.27,7743669,4,Ada,8,Layak
3.86,6909861,4,Ada,4,Layak
3.67,9915398,3,Tidak Ada,3,Tidak Layak
3.0,5185501,3,Ada,6,Layak
3.11,6484445,2,Tidak Ada,5,Tidak Layak
3.65,4819144,1,Ada,6,Layak
2.86,9168216,4,Ada,2,Tidak Layak
3.8,5535493,5,Tidak Ada,3,Layak
2.52,6348287,5,Ada,8,Layak
3.84,3034837,5,Ada,5,Layak
2.61,1923570,4,Ada,3,Layak
2.75,9941136,1,Ada,7,Tidak Layak
3.38,6618922,4,Tidak Ada,7,Tidak Layak
3.18,1660775,2,Tidak Ada,5,Layak
3.2,9186841,4,Tidak Ada,5,Tidak Layak
2.62,8967048,4,Tidak Ada,4,Tidak Layak
3.55,5537776,1,Ada,6,Layak
3.72,6385211,5,Ada,7,Layak
2.61,3996081,3,Tidak Ada,6,Tidak Layak
3.42,2678049,2,Tidak Ada,7,Layak
3.8,4814692,1,Tidak Ada,2,Layak
3.22,5412942,1,Ada,6,Layak
3.62,6501045,3,Ada,2,Layak
3.76,8653768,3,Ada,2,Layak
2.52,6397590,4,Ada,6,Layak
4.0,3832517,3,Ada,8,Layak
3.65,6887408,5,Tidak Ada,2,Tidak Layak
2.69,5477266,5,Ada,5,Layak
2.84,5540479,2,Tidak Ada,8,Tidak Layak
2.67,4834817,3,Ada,3,Layak
3.78,6334357,4,Ada,7,Layak
3.81,6392472,1,Tidak Ada,8,Tidak Layak
2.54,6787118,5,Ada,7,Layak
3.56,4967366,4,Tidak Ada,7,Layak
3.41,8453757,3,Ada,8,Layak
3.59,3953752,1,Tidak Ada,8,Layak
3.09,5764694,2,Ada,2,Layak
3.92,4963351,1,Tidak Ada,2,Layak
2.89,3349396,2,Ada,7,Layak
3.45,9507407,3,Ada,8,Layak
2.69,9501482,4,Tidak Ada,5,Tidak Layak
3.02,7106594,3,Ada,3,Layak
3.4,6623122,3,Ada,6,Layak
3.02,6779548,5,Tidak Ada,2,Tidak Layak
3.3,3745131,2,Tidak Ada,3,Tidak Layak
2.69,9980473,5,Ada,2,Tidak Layak
2.64,4406158,1,Tidak Ada,8,Tidak Layak
3.27,4625354,5,Ada,3,Layak
3.8,5482588,4,Ada,8,Layak
3.06,2135605,2,Tidak Ada,8,Layak
3.3,9085153,5,Tidak Ada,7,Tidak Layak
2.72,2807506,3,Ada,8,Layak
3.27,5208654,4,Ada,3,Layak
3.17,7372354,3,Ada,2,Layak
3.61,3819049,1,Ada,8,Layak
2.63,2270173,4,Ada,2,Layak
3.01,7142264,4,Tidak Ada,4,Tidak Layak
3.47,5721038,4,Ada,7,Layak
3.38,4068103,1,Tidak Ada,4,Tidak Layak
3.07,7982532,4,Tidak Ada,3,Tidak Layak
2.87,2814532,1,Ada,6,Layak
2.65,3713573,4,Tidak Ada,4,Tidak Layak
2.63,6556861,1,Ada,4,Tidak Layak
3.29,2533255,5,Tidak Ada,8,Layak
3.84,9143603,4,Ada,5,Layak
2.51,1887952,3,Tidak Ada,2,Tidak Layak
3.58,7084263,2,Ada,6,Layak
3.65,1564323,3,Tidak Ada,2,Layak
3.6,8181134,1,Tidak Ada,7,Tidak Layak
2.93,4383427,5,Ada,4,Layak
2.58,4363793,2,Ada,8,Layak
3.32,5699591,2,Tidak Ada,2,Tidak Layak
2.71,9612074,3,Tidak Ada,8,Tidak Layak
3.89,2286667,2,Tidak Ada,6,Layak
3.6,5109736,2,Tidak Ada,4,Tidak Layak
2.6,2592501,4,Tidak Ada,6,Tidak Layak
2.71,3655748,4,Tidak Ada,4,Tidak Layak
2.75,7155378,3,Tidak Ada,3,Tidak Layak
3.86,9317304,2,Tidak Ada,8,Tidak Layak
3.57,6782591,3,Ada,7,Layak
3.31,6845854,1,Ada,2,Layak
3.85,6133078,2,Tidak Ada,6,Tidak Layak
3.86,9405477,3,Ada,4,Layak
3.0,6037358,5,Ada,5,Layak
3.61,8367100,1,Ada,6,Layak
2.87,9053974,1,Tidak Ada,5,Tidak Layak
3.35,4677993,5,Ada,3,Layak
3.01,5557893,5,Ada,8,Layak
3.77,3305468,5,Ada,8,Layak
3.11,7025633,3,Ada,4,Layak
3.54,7235193,3,Ada,6,Layak
3.74,7343493,2,Tidak Ada,4,Tidak Layak
2.73,2755564,2,Ada,2,Layak
2.53,5924507,3,Tidak Ada,5,Tidak Layak
3.35,7248035,5,Tidak Ada,6,Tidak Layak
3.56,2338761,1,Tidak Ada,8,Layak
3.41,4821127,1,Tidak Ada,4,Tidak Layak
3.18,8075716,5,Tidak Ada,7,Tidak Layak
2.78,8171318,1,Ada,8,Tidak Layak
2.97,5078226,5,Ada,2,Layak
3.62,4617172,2,Ada,4,Layak
3.1,2517433,3,Tidak Ada,3,Layak
3.2,3081530,2,Ada,2,Layak
3.38,8357658,4,Ada,4,Layak
2.87,7731219,5,Tidak Ada,2,Tidak Layak
3.04,2545482,2,Tidak Ada,3,Layak
3.5,2070451,1,Ada,5,Layak
3.12,4852252,1,Ada,2,Layak
2.96,5827858,3,Tidak Ada,4,Tidak Layak
3.02,7484684,5,Tidak Ada,4,Tidak Layak
2.6,2203662,2,Tidak Ada,7,Tidak Layak
3.16,5443645,3,Ada,5,Layak
2.77,7017366,3,Tidak Ada,3,Tidak Layak
2.91,9870262,4,Tidak Ada,3,Tidak Layak
3.8,8949607,1,Ada,8,Layak
2.88,4938550,3,Ada,6,Layak
3.39,4685714,1,Tidak Ada,8,Tidak Layak
3.58,4194946,3,Tidak Ada,5,Layak
3.92,3462165,5,Tidak Ada,8,Layak
2.99,5741361,2,Ada,2,Layak
2.81,8729039,5,Ada,5,Tidak Layak
3.46,5026737,2,Ada,8,Layak
3.44,8418889,2,Ada,8,Layak
2.55,7693956,1,Tidak Ada,6,Tidak Layak
2.94,9621849,4,Tidak Ada,2,Tidak Layak
3.8,5761946,1,Tidak Ada,4,Tidak Layak
3.27,4359244,1,Ada,2,Layak
2.71,1616739,2,Tidak Ada,6,Layak
2.76,2514929,5,Tidak Ada,5,Layak
3.25,4803457,1,Ada,2,Layak
3.25,7738795,5,Tidak Ada,7,Tidak Layak
2.71,8290968,3,Tidak Ada,3,Tidak Layak
3.4,5684056,5,Ada,3,Layak
3.87,4943609,5,Tidak Ada,7,Layak
3.28,1890719,2,Tidak Ada,7,Layak
3.61,4796050,5,Tidak Ada,4,Layak
2.87,6402666,3,Tidak Ada,5,Tidak Layak
3.58,2559622,3,Tidak Ada,3,Layak
3.09,5631479,5,Tidak Ada,2,Tidak Layak
2.9,4851278,4,Ada,4,Layak
3.76,2670365,3,Ada,4,Layak
3.0,7431161,2,Ada,2,Layak
2.61,8484720,1,Ada,6,Tidak Layak
3.53,6798217,1,Ada,4,Layak
3.73,7287749,2,Tidak Ada,4,Tidak Layak
2.97,6487696,5,Ada,3,Layak
3.54,9099600,4,Tidak Ada,4,Tidak Layak
3.6,9547252,1,Ada,6,Tidak Layak
3.54,8111653,1,Tidak Ada,2,Tidak Layak
3.47,9097626,2,Ada,6,Layak
3.5,6639743,2,Tidak Ada,8,Tidak Layak
4.0,6306425,5,Tidak Ada,3,Layak
2.97,3883366,1,Ada,3,Layak
3.13,8191409,4,Ada,4,Layak
2.98,4895049,1,Tidak Ada,8,Tidak Layak
3.05,4047500,2,Ada,6,Layak
3.3,3341648,4,Ada,7,Layak
2.98,5328433,1,Tidak Ada,6,Tidak Layak
3.42,5637270,3,Tidak Ada,3,Tidak Layak
2.53,9570924,5,Tidak Ada,4,Tidak Layak
2.61,8685197,4,Ada,7,Tidak Layak
2.63,9469693,1,Ada,8,Tidak Layak
3.28,9244064,1,Ada,6,Tidak Layak
3.03,6908753,4,Tidak Ada,7,Tidak Layak
3.38,2285332,1,Ada,2,Layak
3.09,4688729,5,Ada,6,Layak
2.63,9496198,3,Tidak Ada,6,Tidak Layak
3.98,6504998,4,Tidak Ada,4,Layak
3.1,9609916,5,Ada,6,Layak
2.68,1802186,2,Ada,3,Layak
2.56,2526553,3,Tidak Ada,7,Tidak Layak
3.7,5243797,1,Ada,4,Layak
3.4,8346192,5,Ada,3,Layak
3.27,4541341,1,Tidak Ada,4,Tidak Layak
3.72,9163589,5,Tidak Ada,6,Tidak Layak
3.31,3175843,5,Tidak Ada,4,Layak
3.82,4114235,5,Ada,4,Layak
3.93,2642953,1,Ada,2,Layak
3.33,6006554,2,Tidak Ada,5,Tidak Layak
3.06,9837735,3,Ada,3,Tidak Layak
3.3,6587268,4,Tidak Ada,6,Tidak Layak
3.84,1902732,5,Ada,3,Layak
3.36,9899911,2,Tidak Ada,4,Tidak Layak
3.8,8926263,3,Tidak Ada,5,Tidak Layak
3.78,1958298,1,Ada,4,Layak
2.86,3230228,2,Tidak Ada,8,Tidak Layak
3.55,8893979,5,Ada,6,Layak
3.81,9675602,2,Tidak Ada,4,Tidak Layak
2.84,4092670,2,Tidak Ada,3,Tidak Layak
3.75,5261675,2,Tidak Ada,6,Layak
3.43,4581328,1,Ada,8,Layak
3.07,6911263,5,Ada,7,Layak
2.93,2692929,4,Tidak Ada,8,Layak
3.9,5568316,4,Tidak Ada,5,Layak
2.6,2283066,1,Tidak Ada,7,Tidak Layak
3.56,5441237,1,Tidak Ada,3,Tidak Layak
2.61,5159985,2,Tidak Ada,8,Tidak Layak
3.95,6568002,4,Ada,5,Layak
2.54,6655872,3,Ada,3,Tidak Layak
2.5,2312461,2,Ada,5,Layak
3.14,9406166,5,Ada,4,Layak
2.83,3002337,4,Tidak Ada,4,Layak
2.91,8564400,4,Tidak Ada,5,Tidak Layak
3.6,9052975,5,Ada,5,Layak
3.1,4840216,5,Ada,4,Layak
3.11,9086725,2,Ada,4,Tidak Layak
2.55,1844855,4,Tidak Ada,8,Layak
3.21,2634106,4,Tidak Ada,2,Layak
3.8,7144807,3,Tidak Ada,3,Tidak Layak
3.64,6741218,5,Tidak Ada,5,Tidak Layak
2.55,9510643,1,Tidak Ada,7,Tidak Layak
3.4,9392861,4,Tidak Ada,5,Tidak Layak
3.34,4374299,5,Ada,3,Layak
3.7,9094378,5,Ada,6,Layak
